year,week_no,district,disease_name_in_full_form,cases,cases_lag1,cases_lag2,cases_lag3,cases_lag4,precip_lag1,precip_lag2,precip_lag3,precip_lag4
2020,5,Ampara,Dengue Fever,47,14,21,24,9,25.1,11.6,13.6,12.8
2020,6,Ampara,Dengue Fever,40,47,14,21,24,0.2,25.1,11.6,13.6
2020,7,Ampara,Dengue Fever,43,40,47,14,21,10.3,0.2,25.1,11.6
2020,8,Ampara,Dengue Fever,22,43,40,47,14,15.5,10.3,0.2,25.1
2020,9,Ampara,Dengue Fever,12,22,43,40,47,16.34,15.5,10.3,0.2
2020,10,Ampara,Dengue Fever,11,12,22,43,40,11.4,16.34,15.5,10.3
2020,11,Ampara,Dengue Fever,16,11,12,22,43,0.8,11.4,16.34,15.5
2020,12,Ampara,Dengue Fever,15,16,11,12,22,0.5,0.8,11.4,16.34
2020,13,Ampara,Dengue Fever,8,15,16,11,12,9,0.5,0.8,11.4
2020,14,Ampara,Dengue Fever,0,8,15,16,11,1.7,9,0.5,0.8
2020,15,Ampara,Dengue Fever,0,0,8,15,16,5.9,1.7,9,0.5
2020,16,Ampara,Dengue Fever,2,0,0,8,15,4.9,5.9,1.7,9
2020,17,Ampara,Dengue Fever,1,2,0,0,8,23.65,4.9,5.9,1.7
2020,18,Ampara,Dengue Fever,0,1,2,0,0,12.1,23.65,4.9,5.9
2020,19,Ampara,Dengue Fever,3,0,1,2,0,10.8,12.1,23.65,4.9
2020,20,Ampara,Dengue Fever,0,3,0,1,2,28.65,10.8,12.1,23.65
2020,21,Ampara,Dengue Fever,1,0,3,0,1,70.65,28.65,10.8,12.1
2020,22,Ampara,Dengue Fever,1,1,0,3,0,3.6,70.65,28.65,10.8
2020,23,Ampara,Dengue Fever,1,1,1,0,3,16.45,3.6,70.65,28.65
2020,24,Ampara,Dengue Fever,0,1,1,1,0,15.2,16.45,3.6,70.65
2020,25,Ampara,Dengue Fever,4,0,1,1,1,8.3,15.2,16.45,3.6
2020,26,Ampara,Dengue Fever,4,4,0,1,1,10.5,8.3,15.2,16.45
2020,27,Ampara,Dengue Fever,2,4,4,0,1,30.8,10.5,8.3,15.2
